"Id","StoreId","DayOfWeek","StartTime","EndTime","InfoTextDe","InfoTextEn","ShowInfoTextInsteadOfTime"
3075033,"ac45f301-cfca-4498-b03c-9dafbd5c7a12",3,"2021-09-23 11:30:00","2021-09-23 12:30:00",NULL,NULL,False
3075034,"ac45f301-cfca-4498-b03c-9dafbd5c7a12",4,"2021-09-23 07:30:00","2021-09-23 09:00:00",NULL,NULL,False
3231399,"00ec9072-e559-479d-a2cc-f3d0e7143c93",1,"2021-10-22 06:15:00","2021-10-22 20:45:00",NULL,NULL,False
3123089,"d67f44d4-2b1c-4aa6-b596-f5f4f61a1aae",1,"2021-09-30 17:00:00","2021-09-30 22:30:00",NULL,NULL,False
3123090,"d67f44d4-2b1c-4aa6-b596-f5f4f61a1aae",2,"2021-09-30 11:30:00","2021-09-30 14:30:00",NULL,NULL,False
3123091,"d67f44d4-2b1c-4aa6-b596-f5f4f61a1aae",2,"2021-09-30 17:00:00","2021-09-30 22:30:00",NULL,NULL,False
3123092,"d67f44d4-2b1c-4aa6-b596-f5f4f61a1aae",3,"2021-09-30 11:30:00","2021-09-30 14:30:00",NULL,NULL,False
3123093,"d67f44d4-2b1c-4aa6-b596-f5f4f61a1aae",3,"2021-09-30 17:00:00","2021-09-30 22:30:00",NULL,NULL,False
3078070,"258321ee-3f56-48c1-98aa-ffcab060a840",5,"2021-09-23 17:00:00","2021-09-23 22:30:00",NULL,NULL,False
3079211,"c0700119-4f1e-4666-935e-4c435fd778da",5,"2021-09-23 12:00:00","2021-09-23 16:00:00",NULL,NULL,False
3123094,"d67f44d4-2b1c-4aa6-b596-f5f4f61a1aae",4,"2021-09-30 11:30:00","2021-09-30 14:30:00",NULL,NULL,False
3123095,"d67f44d4-2b1c-4aa6-b596-f5f4f61a1aae",4,"2021-09-30 17:00:00","2021-09-30 22:30:00",NULL,NULL,False
3075035,"ac45f301-cfca-4498-b03c-9dafbd5c7a12",4,"2021-09-23 11:30:00","2021-09-23 12:30:00",NULL,NULL,False
3075036,"ac45f301-cfca-4498-b03c-9dafbd5c7a12",5,"2021-09-23 11:30:00","2021-09-23 12:30:00",NULL,NULL,False
